year,period,periodName,latest,value,footnotes,calculations
2022,M09,September,,296.539,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.6', '6': '3.2', '12': '8.2'}}"
2022,M08,August,,295.320,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '1.4', '6': '3.8', '12': '8.2'}}"
2022,M07,July,,294.628,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '2.1', '6': '4.3', '12': '8.4'}}"
2022,M06,June,,294.728,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.2', '3': '2.5', '6': '4.9', '12': '8.9'}}"
2022,M05,May,,291.268,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '2.3', '6': '4.5', '12': '8.5'}}"
2022,M04,April,,288.611,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '2.1', '6': '4.4', '12': '8.2'}}"
2022,M03,March,,287.472,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.0', '3': '2.3', '6': '4.9', '12': '8.5'}}"
2022,M02,February,,284.610,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '2.1', '6': '4.3', '12': '8.0'}}"
2022,M01,January,,282.599,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '2.2', '6': '4.0', '12': '7.6'}}"
2021,M12,December,,280.887,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '2.5', '6': '3.8', '12': '7.2'}}"
2021,M11,November,,278.711,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '2.1', '6': '3.8', '12': '6.9'}}"
2021,M10,October,,276.522,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '1.8', '6': '3.7', '12': '6.2'}}"
2021,M09,September,,274.028,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.3', '6': '3.4', '12': '5.4'}}"
2021,M08,August,,272.870,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.6', '6': '3.5', '12': '5.2'}}"
2021,M07,July,,271.764,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.9', '6': '3.5', '12': '5.2'}}"
2021,M06,June,,270.559,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '2.1', '6': '3.3', '12': '5.3'}}"
2021,M05,May,,268.444,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '1.8', '6': '2.9', '12': '4.9'}}"
2021,M04,April,,266.670,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '1.5', '6': '2.5', '12': '4.1'}}"
2021,M03,March,,264.914,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.1', '6': '1.9', '12': '2.6'}}"
2021,M02,February,,263.638,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.1', '6': '1.6', '12': '1.7'}}"
2021,M01,January,,262.650,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.9', '6': '1.7', '12': '1.4'}}"
