year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2019,M10,October,,3.6,[{}],"{'net_changes': {'1': '0.1', '3': '-0.1', '6': '0.0', '12': '-0.2'}, 'pct_changes': {'1': '2.9', '3': '-2.7', '6': '0.0', '12': '-5.3'}}",2019-10-01,0.1,-0.1,0.0,-0.2
2019,M09,September,,3.5,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.1', '6': '-0.3', '12': '-0.2'}, 'pct_changes': {'1': '-5.4', '3': '-2.8', '6': '-7.9', '12': '-5.4'}}",2019-09-01,-0.2,-0.1,-0.3,-0.2
2019,M08,August,,3.7,[{}],"{'net_changes': {'1': '0.0', '3': '0.0', '6': '-0.1', '12': '-0.1'}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '-2.6', '12': '-2.6'}}",2019-08-01,0.0,0.0,-0.1,-0.1
2019,M07,July,,3.7,[{}],"{'net_changes': {'1': '0.1', '3': '0.1', '6': '-0.3', '12': '-0.1'}, 'pct_changes': {'1': '2.8', '3': '2.8', '6': '-7.5', '12': '-2.6'}}",2019-07-01,0.1,0.1,-0.3,-0.1
2019,M06,June,,3.6,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.2', '6': '-0.3', '12': '-0.4'}, 'pct_changes': {'1': '-2.7', '3': '-5.3', '6': '-7.7', '12': '-10.0'}}",2019-06-01,-0.1,-0.2,-0.3,-0.4
2019,M05,May,,3.7,[{}],"{'net_changes': {'1': '0.1', '3': '-0.1', '6': '-0.1', '12': '-0.1'}, 'pct_changes': {'1': '2.8', '3': '-2.6', '6': '-2.6', '12': '-2.6'}}",2019-05-01,0.1,-0.1,-0.1,-0.1
2019,M04,April,,3.6,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.4', '6': '-0.2', '12': '-0.4'}, 'pct_changes': {'1': '-5.3', '3': '-10.0', '6': '-5.3', '12': '-10.0'}}",2019-04-01,-0.2,-0.4,-0.2,-0.4
2019,M03,March,,3.8,[{}],"{'net_changes': {'1': '0.0', '3': '-0.1', '6': '0.1', '12': '-0.2'}, 'pct_changes': {'1': '0.0', '3': '-2.6', '6': '2.7', '12': '-5.0'}}",2019-03-01,0.0,-0.1,0.1,-0.2
2019,M02,February,,3.8,[{}],"{'net_changes': {'1': '-0.2', '3': '0.0', '6': '0.0', '12': '-0.3'}, 'pct_changes': {'1': '-5.0', '3': '0.0', '6': '0.0', '12': '-7.3'}}",2019-02-01,-0.2,0.0,0.0,-0.3
2019,M01,January,,4.0,[{}],"{'net_changes': {'1': '0.1', '3': '0.2', '6': '0.2', '12': '0.0'}, 'pct_changes': {'1': '2.6', '3': '5.3', '6': '5.3', '12': '0.0'}}",2019-01-01,0.1,0.2,0.2,0.0
2018,M12,December,,3.9,[{}],"{'net_changes': {'1': '0.1', '3': '0.2', '6': '-0.1', '12': '-0.2'}, 'pct_changes': {'1': '2.6', '3': '5.4', '6': '-2.5', '12': '-4.9'}}",2018-12-01,0.1,0.2,-0.1,-0.2
2018,M11,November,,3.8,[{}],"{'net_changes': {'1': '0.0', '3': '0.0', '6': '0.0', '12': '-0.4'}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '0.0', '12': '-9.5'}}",2018-11-01,0.0,0.0,0.0,-0.4
2018,M10,October,,3.8,[{}],"{'net_changes': {'1': '0.1', '3': '0.0', '6': '-0.2', '12': '-0.4'}, 'pct_changes': {'1': '2.7', '3': '0.0', '6': '-5.0', '12': '-9.5'}}",2018-10-01,0.1,0.0,-0.2,-0.4
2018,M09,September,,3.7,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.3', '6': '-0.3', '12': '-0.6'}, 'pct_changes': {'1': '-2.6', '3': '-7.5', '6': '-7.5', '12': '-14.0'}}",2018-09-01,-0.1,-0.3,-0.3,-0.6
2018,M08,August,,3.8,[{}],"{'net_changes': {'1': '0.0', '3': '0.0', '6': '-0.3', '12': '-0.6'}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '-7.3', '12': '-13.6'}}",2018-08-01,0.0,0.0,-0.3,-0.6
2018,M07,July,,3.8,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.2', '6': '-0.2', '12': '-0.5'}, 'pct_changes': {'1': '-5.0', '3': '-5.0', '6': '-5.0', '12': '-11.6'}}",2018-07-01,-0.2,-0.2,-0.2,-0.5
2018,M06,June,,4.0,[{}],"{'net_changes': {'1': '0.2', '3': '0.0', '6': '-0.1', '12': '-0.3'}, 'pct_changes': {'1': '5.3', '3': '0.0', '6': '-2.4', '12': '-7.0'}}",2018-06-01,0.2,0.0,-0.1,-0.3
2018,M05,May,,3.8,[{}],"{'net_changes': {'1': '-0.2', '3': '-0.3', '6': '-0.4', '12': '-0.6'}, 'pct_changes': {'1': '-5.0', '3': '-7.3', '6': '-9.5', '12': '-13.6'}}",2018-05-01,-0.2,-0.3,-0.4,-0.6
2018,M04,April,,4.0,[{}],"{'net_changes': {'1': '0.0', '3': '0.0', '6': '-0.2', '12': '-0.4'}, 'pct_changes': {'1': '0.0', '3': '0.0', '6': '-4.8', '12': '-9.1'}}",2018-04-01,0.0,0.0,-0.2,-0.4
2018,M03,March,,4.0,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.1', '6': '-0.3', '12': '-0.4'}, 'pct_changes': {'1': '-2.4', '3': '-2.4', '6': '-7.0', '12': '-9.1'}}",2018-03-01,-0.1,-0.1,-0.3,-0.4
2018,M02,February,,4.1,[{}],"{'net_changes': {'1': '0.1', '3': '-0.1', '6': '-0.3', '12': '-0.5'}, 'pct_changes': {'1': '2.5', '3': '-2.4', '6': '-6.8', '12': '-10.9'}}",2018-02-01,0.1,-0.1,-0.3,-0.5
2018,M01,January,,4.0,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.2', '6': '-0.3', '12': '-0.7'}, 'pct_changes': {'1': '-2.4', '3': '-4.8', '6': '-7.0', '12': '-14.9'}}",2018-01-01,-0.1,-0.2,-0.3,-0.7
2017,M12,December,,4.1,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.2', '6': '-0.2', '12': '-0.6'}, 'pct_changes': {'1': '-2.4', '3': '-4.7', '6': '-4.7', '12': '-12.8'}}",2017-12-01,-0.1,-0.2,-0.2,-0.6
2017,M11,November,,4.2,[{}],"{'net_changes': {'1': '0.0', '3': '-0.2', '6': '-0.2', '12': '-0.5'}, 'pct_changes': {'1': '0.0', '3': '-4.5', '6': '-4.5', '12': '-10.6'}}",2017-11-01,0.0,-0.2,-0.2,-0.5
2017,M10,October,,4.2,[{}],"{'net_changes': {'1': '-0.1', '3': '-0.1', '6': '-0.2', '12': '-0.7'}, 'pct_changes': {'1': '-2.3', '3': '-2.3', '6': '-4.5', '12': '-14.3'}}",2017-10-01,-0.1,-0.1,-0.2,-0.7
