year,period,periodName,latest,value,footnotes,calculations,DateTime,MonthOverMonth,3-Month,6-Month,YearOverYear
2012,M09,September,,162.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.0', '6': '3.7', '12': '0.4'}}",2012-09-01,0.4,1.0,3.7,0.4
2012,M08,August,,162.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '2.2', '6': '3.1', '12': '-0.2'}}",2012-08-01,0.1,2.2,3.1,-0.2
2012,M07,July,,162.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '3.1', '6': '3.2', '12': '-0.1'}}",2012-07-01,0.6,3.1,3.2,-0.1
2012,M06,June,,161.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.6', '3': '2.7', '6': '2.2', '12': '-0.1'}}",2012-06-01,1.6,2.7,2.2,-0.1
2012,M05,May,,158.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.0', '3': '0.9', '6': '1.1', '12': '0.6'}}",2012-05-01,1.0,0.9,1.1,0.6
2012,M04,April,,157.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.1', '6': '-1.1', '12': '0.7'}}",2012-04-01,0.1,0.1,-1.1,0.7
2012,M03,March,,157.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '-0.4', '6': '-3.1', '12': '0.5'}}",2012-03-01,-0.2,-0.4,-3.1,0.5
2012,M02,February,,157.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.2', '6': '-3.3', '12': '1.1'}}",2012-02-01,0.2,0.2,-3.3,1.1
2012,M01,January,,157.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '-1.2', '6': '-3.3', '12': '1.4'}}",2012-01-01,-0.4,-1.2,-3.3,1.4
2011,M12,December,,157.8,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '-2.7', '6': '-2.3', '12': '2.9'}}",2011-12-01,0.4,-2.7,-2.3,2.9
2011,M11,November,,157.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.2', '3': '-3.4', '6': '-0.5', '12': '2.9'}}",2011-11-01,-1.2,-3.4,-0.5,2.9
2011,M10,October,,159.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-2.0', '3': '-2.1', '6': '1.8', '12': '2.4'}}",2011-10-01,-2.0,-2.1,1.8,2.4
2011,M09,September,,162.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '0.4', '6': '3.8', '12': '0.8'}}",2011-09-01,-0.3,0.4,3.8,0.8
2011,M08,August,,162.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '3.0', '6': '4.5', '12': '1.3'}}",2011-08-01,0.2,3.0,4.5,1.3
2011,M07,July,,162.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '4.0', '6': '4.8', '12': '1.1'}}",2011-07-01,0.6,4.0,4.8,1.1
2011,M06,June,,161.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '2.3', '3': '3.3', '6': '5.3', '12': '1.5'}}",2011-06-01,2.3,3.3,5.3,1.5
2011,M05,May,,157.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.1', '3': '1.4', '6': '3.5', '12': '3.5'}}",2011-05-01,1.1,1.4,3.5,3.5
2011,M04,April,,156.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.8', '6': '0.6', '12': '3.0'}}",2011-04-01,-0.1,0.8,0.6,3.0
2011,M03,March,,156.3,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.9', '6': '-2.9', '12': '4.0'}}",2011-03-01,0.4,1.9,-2.9,4.0
2011,M02,February,,155.7,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '2.0', '6': '-3.1', '12': '4.7'}}",2011-02-01,0.5,2.0,-3.1,4.7
2011,M01,January,,155.0,[{}],"{'net_changes': {}, 'pct_changes': {'1': '1.0', '3': '-0.1', '6': '-3.5', '12': '4.8'}}",2011-01-01,1.0,-0.1,-3.5,4.8
2010,M12,December,,153.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '-4.7', '6': '-3.6', '12': '3.2'}}",2010-12-01,0.5,-4.7,-3.6,3.2
2010,M11,November,,152.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.7', '3': '-5.0', '6': '0.1', '12': '2.8'}}",2010-11-01,-1.7,-5.0,0.1,2.8
2010,M10,October,,155.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-3.5', '3': '-3.4', '6': '2.4', '12': '3.9'}}",2010-10-01,-3.5,-3.4,2.4,3.9
2010,M09,September,,160.9,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '1.1', '6': '7.1', '12': '5.0'}}",2010-09-01,0.2,1.1,7.1,5.0
2010,M08,August,,160.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '5.3', '6': '8.0', '12': '4.9'}}",2010-08-01,0.0,5.3,8.0,4.9
2010,M07,July,,160.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.9', '3': '5.9', '6': '8.6', '12': '4.6'}}",2010-07-01,0.9,5.9,8.6,4.6
2010,M06,June,,159.1,[{}],"{'net_changes': {}, 'pct_changes': {'1': '4.3', '3': '5.9', '6': '7.1', '12': '4.4'}}",2010-06-01,4.3,5.9,7.1,4.4
2010,M05,May,,152.5,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '2.6', '6': '2.8', '12': '1.9'}}",2010-05-01,0.6,2.6,2.8,1.9
